Serving HTTP on 0.0.0.0 port 8080 (http://0.0.0.0:8080/) ...
127.0.0.1 - - [02/Oct/2025 08:48:19] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 08:49:45] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 08:49:45] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 08:49:45] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [02/Oct/2025 08:49:47] code 404, message File not found
127.0.0.1 - - [02/Oct/2025 08:49:47] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [02/Oct/2025 08:57:03] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [02/Oct/2025 08:57:03] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Oct/2025 08:57:03] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Oct/2025 08:59:20] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [02/Oct/2025 08:59:21] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Oct/2025 08:59:21] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [02/Oct/2025 09:01:42] "GET /test_websocket.html?password=98ac80e7-3be6-4547-a128-f15a7bade5a7 HTTP/1.1" 200 -
